"ProductId","Image Url","Video Url","Product Desc","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Store Level","Comment Score","Promotion Url","Seller Code","Code Available Time Start","Code Available Time End","Code Campaign Type","Code Value/Rate","Code Mini Spend","Code Quantity","Code Promotion Url"
"1005004678061147","https://ae04.alicdn.com/kf/S31e0cd536a394497a89317d5ac7a552bY.jpg","","200m Drone 5G WIFI  Professional Dual HD Camera Aerial Photography Brushless Motor Foldable Quadcopter Toys","USD 17.01","35.00%","USD","30.0","USD 5.10","0","Below Average","0","https://s.click.aliexpress.com/e/_DCWfw3h",,,,,,,,
"33017012602","https://ae04.alicdn.com/kf/Sde748de166924ca281cd1fee0095b855z.jpg","https://cloud.video.taobao.com/play/u/17381039838/p/1/e/6/t/10301/337462209135.mp4","KF101 MAX / KF101 MAX1 5KM GPS Drone 4K Camera with 3-Axis EIS Anti-Shake Gimbal Professional Quadcopter Brushless WiFi FPV Dron","USD 167.74","51.00%","USD","8.0","USD 13.42","20","Average","4","https://s.click.aliexpress.com/e/_DdMLX7l",,,,,,,,
"1005004309864039","https://ae04.alicdn.com/kf/Scf0ac1f95db340daaf82270e1d45c9c0a.jpg","","SG906 MAX 2 / Pro 2 Professional FPV 4K Camera Drone with 3-Axis Gimbal 4KM Brushless GPS Quadcopter Obstacle Avoidance RC Dron","USD 189.59","41.00%","USD","7","USD 13.27","33","Below Average","5","https://s.click.aliexpress.com/e/_DD8LjQb",,,,,,,,
"1005004557258278","https://ae04.alicdn.com/kf/Hc54a7c90ece941b297b88b3edbb064e2M.jpg","https://cloud.video.taobao.com/play/u/2210864029826/p/1/e/6/t/10301/324371358242.mp4","2022 New KY906 Mini Drone Dual 4K HD Camera 2.4G Wifi Fpv Portable Foldable Quadcopter One-Key Return RC Helicopter Kid's Toys","USD 30.11","48.00%","USD","7","USD 2.11","0","Good","0","https://s.click.aliexpress.com/e/_DFJhXqT",,,,,,,,
"1005004177011312","https://ae04.alicdn.com/kf/Sd43667910ac142b8b2762623ddfb4b93K.jpg","","Jjrc M05 Rc Helicopter Toy 6axis 4 Ch 2.4g Remote Control Electronic Aircraft Altitude Hold Gyro Anti-collision Quadcopter Drone","USD 57.44","20.00%","USD","15.0","USD 8.62","21","Average","5","https://s.click.aliexpress.com/e/_DES7cMx",,,,,,,,
"1005004627128151","https://ae04.alicdn.com/kf/S2e9a38e277cf4a52803a40e4ea2eacbfX.jpg","https://cloud.video.taobao.com/play/u/2214499647439/p/1/e/6/t/10301/1100078642657.mp4,https://cloud.video.taobao.com/play/u/2214499647439/p/1/e/6/t/10301/1100078640253.mp4","2022 New GPS Drone 4k Profesional HD Camera 4-Axis Gimbal Anti-Shake Aerial Brushless Foldable Quadcopter 1.5km Drone","USD 76.99","50.00%","USD","10.0","USD 7.70","0","Below Average","0","https://s.click.aliexpress.com/e/_DmGUAG7",,,,,,,,
"1005004138221620","https://ae04.alicdn.com/kf/S627ee18989cc4114bfc05d83d3928203g.jpg","","Professional S109 MAX GPS Drone 8K Dual HD Camera FPV Laser Obstacle Avoidance Brushless Motor Foldable Quadcopter","USD 84.95","42.00%","USD","7","USD 5.95","21","Below Average","4","https://s.click.aliexpress.com/e/_DeSF90P",,,,,,,,
"1005004542743387","https://ae04.alicdn.com/kf/S7de930f0893142dda021bfab4d981090u.jpg","https://cloud.video.taobao.com/play/u/2206653223038/p/1/e/6/t/10301/344629605242.mp4,https://cloud.video.taobao.com/play/u/2206653223038/p/1/e/6/t/10301/342922907270.mp4","2022 New K106 LED Light Drone 4K HD Camera Visual Obstacle Avoidance Optical Flow Positioning Foldable RC Quadcopter Boy Gifts","USD 61.05","48.00%","USD","7","USD 4.27","0","Good","0","https://s.click.aliexpress.com/e/_DCt2x4r",,,,,,,,
"1005004658539834","https://ae04.alicdn.com/kf/Se4cd977682e342f8a80f6b764dc4449cS.jpg","https://cloud.video.taobao.com/play/u/2201297498091/p/1/e/6/t/10301/1100068538365.mp4","2022 New XT5 RC Drone 4k Profesional HD Camera FPV Optical Flow 360 Degrees Obstacle Avoidance Quadcopter Remote Helicopter Toys","USD 45.99","61.00%","USD","7","USD 3.22","9","No Score","0","https://s.click.aliexpress.com/e/_DEuJ4n1",,,,,,,,
"1005004547165081","https://ae04.alicdn.com/kf/S81326c44f52e488bb42a778966d61347N.jpg","https://cloud.video.taobao.com/play/u/2212887766030/p/1/e/6/t/10301/1100068424089.mp4","2022 New GPS Drone 4K Profesional HD Dual Camera EIS 4-Axis Aerial Photography WIFI FPV Brushless Foldable Quadcopter 1.2km Dron","USD 94.63","27.00%","USD","7","USD 6.62","2","Average","5","https://s.click.aliexpress.com/e/_DkfQSbt",,,,,,,,
"1005002977341540","https://ae04.alicdn.com/kf/S25ad966dd9e74208a4f73ec18491be06M.jpg","","SJRC F7 4K PRO Drone GPS 5G WiFi 3 Axis Gimbal With HD Camera FPV Professional RC Foldable Brushless Quadcopter RC Dron","USD 226.56","36.00%","USD","7","USD 15.86","12","Good","5","https://s.click.aliexpress.com/e/_DChspEx",,,,,,,,
"1005003730154689","https://ae04.alicdn.com/kf/S183aa1deec674e4083122d1516e7c088V.jpg","https://cloud.video.taobao.com/play/u/2212905927645/p/1/e/6/t/10301/1100050693346.mp4","Original WLtoys XK K110S RC Mini Drone 2.4G 6CH 3D 6G System Brushless Motor RC Quadcopter Remote Control Toys For Kids Gifts","USD 82.53","30.00%","USD","7","USD 5.78","33","Average","5","https://s.click.aliexpress.com/e/_DdTpKtN",,,,,,,,
"1005004537252199","https://ae04.alicdn.com/kf/S11a449d52dfd4f53b2500e937302831b6.jpg","","RC Drone 4K Profesional Dual HD Quadcopter With Camera With 360 Obstacle Avoidance WiFi VS DJI Phantom Drone RC Quadcopter Toys","USD 40.94","51.00%","USD","7","USD 2.87","0","Below Average","0","https://s.click.aliexpress.com/e/_DEAVCd9",,,,,,,,
"1005004330213262","https://ae04.alicdn.com/kf/Scb8c6a265bab4d9e8a64e92c2b39e0aca.jpg","https://cloud.video.taobao.com/play/u/2214167116274/p/1/e/6/t/10301/1100036206165.mp4,https://cloud.video.taobao.com/play/u/2214167116274/p/1/e/6/t/10301/1100036202460.mp4","2022 New Mini Drone 4K HD Camera WiFi FPV Air Pressure Altitude Hold Black And Helicopter Foldable Quadcopter RC Dron Toy","USD 15.49","40.00%","USD","10.0","USD 1.55","8","Good","5","https://s.click.aliexpress.com/e/_DBKsYl5",,,,,,,,
"1005004508614935","https://ae04.alicdn.com/kf/Sba89b088bef04143bef7a90bc617ce20N.jpg","","S604 PRO Drone GPS Global Positioning 4K Aerial Photography HD Camera 5G Video WIFI APP RC Helicopter Quadcopter Gift For Adult","USD 50.18","36.00%","USD","7","USD 3.51","10","Below Average","0","https://s.click.aliexpress.com/e/_DdszmnZ",,,,,,,,
"1005004571911470","https://ae04.alicdn.com/kf/See5117d3ffa64aa6897f4eff015b37a9E.jpg","https://cloud.video.taobao.com/play/u/2214104951787/p/1/e/6/t/10301/1100082509778.mp4","5G MiNi Drone 8K Profesional GPS 3 KM Drones With Camera HD 4K  Aerial Photography Helicopter RC Quadcopter Obstacle Avoidance","USD 27.07","21.00%","USD","8.0","USD 2.17","10","Average","0","https://s.click.aliexpress.com/e/_DCZQv2L",,,,,,,,
"1005003275817327","https://ae04.alicdn.com/kf/H4aad93dc8a154753a03beecf3cac18f5E.jpg","https://cloud.video.taobao.com/play/u/2212552362661/p/1/e/6/t/10301/327187751439.mp4,https://cloud.video.taobao.com/play/u/2212552362661/p/1/e/6/t/10301/328665867402.mp4","2021 NEW Drone GEPRC CineLog 30 HD with Caddx Polar Vista Digital 4K HD System CineLog30 FPV Quadcopter RC Helicopter","USD 359.00","50.00%","USD","8.0","USD 28.72","27","Average","4.3","https://s.click.aliexpress.com/e/_Dkmakvl",,,,,,,,
"1005004272488589","https://ae04.alicdn.com/kf/S448c76f36b994b1a9ed56b7a596d7ae4M.jpg","https://cloud.video.taobao.com/play/u/2213768545665/p/1/e/6/t/10301/1100045342592.mp4","New P8 RC Drone with 8K Camera Obstacle Avoidance Folding Dron HD 8K Aerial Photography Quadcopter Toy Remote Control Plane","USD 40.25","50.00%","USD","8.0","USD 3.22","87","Below Average","5","https://s.click.aliexpress.com/e/_DncBvzD",,,,,,,,
"1005004279602864","https://ae04.alicdn.com/kf/Ae60845113d404b94a704cbd444796f2bC.jpg","https://cloud.video.taobao.com/play/u/2213359423652/p/1/e/6/t/10301/1100027800880.mp4","S608 Pro GPS Drone With Backpack 6K Dual HD Camera WIFI FPV Professional Aerial Photography RC Distance 3KM Drone Quadcopter","USD 74.99","31.00%","USD","8.0","USD 6.00","6","Average","3.7","https://s.click.aliexpress.com/e/_DEaAV79",,,,,,,,
"1005004665431729","https://ae04.alicdn.com/kf/Saec11019870a4a7386243d8a10639338l.jpg","","4DRC Drone 6K Professional HD Camera GPS 5G WiFi FPV Drones Obstacle Avoidance Brushless Motor Quadcopter RC Helicopter Dron Toy","USD 88.60","50.00%","USD","8.0","USD 7.09","10","Good","0","https://s.click.aliexpress.com/e/_DFCKPrz",,,,,,,,
"1005004583139594","https://ae04.alicdn.com/kf/Seba7e6f739804ee69a12b495ed0e6ac35.jpg","","XYRC L900 MAX GPS Drone 4K Professional HD Dual Camera 360 Obstacle Avoidance Brushless Foldable Quadcopter RC 1200M Vs L900 Pro","USD 104.68","49.00%","USD","7","USD 7.33","4","Good","0","https://s.click.aliexpress.com/e/_DdPAiiJ",,,,,,,,
"1005003015682561","https://ae04.alicdn.com/kf/H044f921aebbd4fbb8700bf36b209b3f9n.jpg","","Eachine & Flyhal E58 PRO WIFI FPV With 1080P HD Camera Adjustment Angle High Hold Mode Foldable RC Drone Quadcopter RTF Dron Toy","USD 41.13","49.00%","USD","3","USD 1.23","17","Good","5","https://s.click.aliexpress.com/e/_DdMTRzp",,,,,,,,
"1005004628819413","https://ae04.alicdn.com/kf/Safdff4e44fda487fa8fcc0be322b7dd5Y.jpg","https://cloud.video.taobao.com/play/u/2212887766030/p/1/e/6/t/10301/1100078952843.mp4","2022 NEW Drone 8K Professional HD 4K Dual Camera WIFI FPV Drone Camera FPV 5Km Aerial Photography Foldable Quadcopter Toys","USD 30.07","31.00%","USD","7","USD 2.10","1","Average","0","https://s.click.aliexpress.com/e/_DDjpW83",,,,,,,,
